exec,format,format_,niter,x,nprocs,nruns,exec-time,insp-time,size,bs,matrix,speedup
cg_par,eigen,eigen,500,-0.000045,1,9,6.869773,0.257468,110420860,1,af_shell3,1
cg_par,coo,coo,500,0,1,9,9.472086,0,144535248,1,af_shell3,0.725265058
cg_par,csr,csr,500,0,1,9,6.455055,0.013221,110420860,1,af_shell3,1.064247013
cg_par,dsr,dsr,500,0,1,9,6.782811,0.016197,112440280,1,af_shell3,1.012820938
cg_par,ell,ell,500,0,1,9,14.141775,0.235669,218097364,1,af_shell3,0.485778695
cg_par,csb,csb,500,0,1,9,8.0943,1.195605,90727750,64,af_shell3,0.848717369
cg_par,csb-b64,csb,500,0,1,9,8.0943,1.195605,90727750,64,af_shell3,0.848717369
cg_par,csb-b128,csb,500,0,1,9,8.383087,0.993787,90529774,128,af_shell3,0.819480103
cg_par,csb-b256,csb,500,0,1,9,8.109271,0.266363,90431998,256,af_shell3,0.847150502
cg_par,eigen,eigen,500,-0.000045,2,9,5.027875,0.258225,110420860,1,af_shell3,1
cg_par,coo,coo,500,0,2,9,4.856424,0,144535248,1,af_shell3,1.03530396
cg_par,csr,csr,500,0,2,9,2.909968,0.013046,110420860,1,af_shell3,1.727811096
cg_par,dsr,dsr,500,0,2,9,3.042171,0.014901,112440280,1,af_shell3,1.652725964
cg_par,ell,ell,500,0,2,9,11.009588,0.232769,218097364,1,af_shell3,0.456681485
cg_par,csb-b64,csb,500,0,2,9,3.980072,1.197243,90727750,64,af_shell3,1.263262323
cg_par,csb-b128,csb,500,0,2,9,3.987045,1.00102,90529774,128,af_shell3,1.261052985
cg_par,csb-b256,csb,500,0,2,9,4.005786,0.266973,90431998,256,af_shell3,1.255153171
cg_par,eigen,eigen,500,-0.000045,4,9,3.431922,0.257592,110420860,1,af_shell3,1
cg_par,coo,coo,500,0,4,9,2.614407,0,144535248,1,af_shell3,1.312696149
cg_par,csr,csr,500,0,4,9,1.539173,0.013178,110420860,1,af_shell3,2.229718167
cg_par,dsr,dsr,500,0,4,9,1.66976,0.014854,112440280,1,af_shell3,2.055338492
cg_par,ell,ell,500,0,4,9,5.703787,0.234891,218097364,1,af_shell3,0.601691823
cg_par,csb-b64,csb,500,0,4,9,2.064365,1.203772,90727750,64,af_shell3,1.662458916
cg_par,csb-b128,csb,500,0,4,9,2.081306,1.00074,90529774,128,af_shell3,1.648927164
cg_par,csb-b256,csb,500,0,4,9,2.057946,0.267301,90431998,256,af_shell3,1.667644341
cg_par,eigen,eigen,500,-0.000045,8,9,2.973942,0.259269,110420860,1,af_shell3,
cg_par,coo,coo,500,0,8,9,1.617321,0,144535248,1,af_shell3,
cg_par,csr,csr,500,0,8,9,0.996154,0.013271,110420860,1,af_shell3,
cg_par,dsr,dsr,500,0,8,9,1.056341,0.015072,112440280,1,af_shell3,
cg_par,ell,ell,500,0,8,9,3.406822,0.23685,218097364,1,af_shell3,
cg_par,csb-b64,csb,500,0,8,9,1.143134,1.202127,90727750,64,af_shell3,
cg_par,csb-b128,csb,500,0,8,9,1.144301,0.998196,90529774,128,af_shell3,
cg_par,csb-b256,csb,500,0,8,9,1.165529,0.268269,90431998,256,af_shell3,
cg_par,eigen,eigen,500,-0.000045,16,9,2.70697,0.258431,110420860,1,af_shell3,
cg_par,coo,coo,500,0,16,9,1.314997,0,144535248,1,af_shell3,
cg_par,csr,csr,500,0,16,9,0.709206,0.013292,110420860,1,af_shell3,
cg_par,dsr,dsr,500,0,16,9,0.707283,0.015137,112440280,1,af_shell3,
cg_par,ell,ell,500,0,16,9,2.461817,0.236229,218097364,1,af_shell3,
cg_par,csb-b64,csb,500,0,16,9,0.657459,1.216865,90727750,64,af_shell3,
cg_par,csb-b128,csb,500,0,16,9,0.657706,0.998431,90529774,128,af_shell3,
cg_par,csb-b256,csb,500,0,16,9,0.680289,0.268392,90431998,256,af_shell3,
cg_par,eigen,eigen,500,-0.000045,24,9,2.749882,0.256569,110420860,1,af_shell3,
cg_par,coo,coo,500,0,24,9,1.115731,0,144535248,1,af_shell3,
cg_par,csr,csr,500,0,24,9,0.725,0.013214,110420860,1,af_shell3,
cg_par,dsr,dsr,500,0,24,9,0.638309,0.015016,112440280,1,af_shell3,
